Issued date,Account ID,Bill to name,Billing Address,Billing City,Billing State,Billing Zip,Customer Name,Sales Rep,Product ID,Product,Sales order Number,SO Status,Sales person,So c1,So c2,Sales Order Custom Field 3,So c4,So c5,Sales Order Custom Field 6,Sales Order ID,SO Item ID,SO Item Product Number,Customer ID,Product description,Sales Order Item Description,Soitem type,BOL,Carrier name,Company id,Company name,Ship status,SO Number,Status ID,Account ID,Sales Rep Initials,Fulfilled Quantity,Last Unit Price,So ct,Unit price,Total price,Total cost,Sales Order Line Item
01-06-2025,84,Ali Baba's Smoke and Vape,"5808 Summitview AVE
Suite C",Yakima,Washington,98908,Ali Baba's Smoke and Vape,Ben Wallner,47,FG-250g White Powder,5853,Fulfilled,BrandonG,,,,,,,10869,33209,FG-250g White Powder,17,250g White Powder,250g White Powder,Sale,96348,UPS,1,CWL Brands,Shipped,5853,30,84,BG,5.00,$20.0000,1.00,$11.50,$57.50,$22.92,3.00
01-06-2025,84,Ali Baba's Smoke and Vape,"5808 Summitview AVE
Suite C",Yakima,Washington,98908,Ali Baba's Smoke and Vape,Ben Wallner,33,FG-300ct Green Caps,5853,Fulfilled,BrandonG,,,,,,,10869,33218,FG-300ct Green Caps,17,300ct Green Caps,300ct Green Caps,Sale,96348,UPS,1,CWL Brands,Shipped,5853,30,84,BG,5.00,$20.0000,1.00,$14.00,$70.00,$28.17,10.00
01-06-2025,84,Ali Baba's Smoke and Vape,"5808 Summitview AVE
Suite C",Yakima,Washington,98908,Ali Baba's Smoke and Vape,Ben Wallner,11,Shipping,5853,Fulfilled,BrandonG,,,,,,,10869,33226,Shipping,17,Shipping,Shipping,Shipping,96348,UPS,1,CWL Brands,Shipped,5853,30,84,BG,1.00,$0.0000,1.00,$100.00,$100.00,$0.05,14.00
01-06-2025,84,Ali Baba's Smoke and Vape,"5808 Summitview AVE
Suite C",Yakima,Washington,98908,Ali Baba's Smoke and Vape,Ben Wallner,11,Shipping,5853,Fulfilled,BrandonG,,,,,,,10869,33435,Shipping,17,Shipping,Shipping Tracking: 1Z90V7160320883024,Shipping,96348,UPS,1,CWL Brands,Shipped,5853,30,84,BG,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,15.00
01-06-2025,739,Shylock Wholesale,710 dry gulch rd,stevensville,Montana,59870,Shylock Wholesale,,131,FG- BX12 -release+relax,5863,Fulfilled,DerekW,,,,,,,10890,33308,FG- BX12 -release+relax,578,BX12 - release+relax,BX12 - release+relax,Sale,96409,UPS,1,CWL Brands,Shipped,5863,30,739,DW,1.00,$54.0000,1.00,$54.00,$54.00,$13.74,2.00
01-06-2025,739,Shylock Wholesale,710 dry gulch rd,stevensville,Montana,59870,Shylock Wholesale,,82,FG- BX12 Focus+Flow,5863,Fulfilled,DerekW,,,,,,,10890,33307,FG- BX12 Focus+Flow,578,BX12 Focus + Flow,BX12 Focus + Flow,Sale,96409,UPS,1,CWL Brands,Shipped,5863,30,739,DW,2.00,$48.0000,1.00,$54.00,$108.00,$29.18,1.00
01-06-2025,739,Shylock Wholesale,710 dry gulch rd,stevensville,Montana,59870,Shylock Wholesale,,11,Shipping,5863,Fulfilled,DerekW,,,,,,,10890,33309,Shipping,578,Shipping,Shipping,Shipping,96409,UPS,1,CWL Brands,Shipped,5863,30,739,DW,1.00,$0.0000,1.00,$10.00,$10.00,$0.05,3.00
01-06-2025,739,Shylock Wholesale,710 dry gulch rd,stevensville,Montana,59870,Shylock Wholesale,,11,Shipping,5863,Fulfilled,DerekW,,,,,,,10890,33379,Shipping,578,Shipping,Shipping Tracking: 1Z90V7160312902983,Shipping,96409,UPS,1,CWL Brands,Shipped,5863,30,739,DW,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,4.00
01-06-2025,895,Vape Depot & Smoke Shop,"ATTN: Tyler
2631 10th Ave SE",Watertown,South Dakota,57201,Vape Depot & Smoke Shop,,74,CC Processing,5826,Fulfilled,BrandonG,,,,,,,10844,33147,CC Processing,733,Credit Card Processing Fee,Credit Card Processing Fee,Sale,95662,UPS,1,CWL Brands,Shipped,5826,30,895,BG,1.00,$0.0000,1.00,$10.80,$10.80,$0.00,2.00
01-06-2025,895,Vape Depot & Smoke Shop,"ATTN: Tyler
2631 10th Ave SE",Watertown,South Dakota,57201,Vape Depot & Smoke Shop,,82,FG- BX12 Focus+Flow,5826,Fulfilled,BrandonG,,,,,,,10844,33146,FG- BX12 Focus+Flow,733,BX12 Focus + Flow,BX12 Focus + Flow,Sale,95662,UPS,1,CWL Brands,Shipped,5826,30,895,BG,10.00,$48.0000,1.00,$54.00,$540.00,$145.92,1.00
